Número de Factura,Referencia Interna,Referencia Externa,Tipo de Factura,Estado,Documento del Tercero,Código Términos de Pago,Código Diario Contable,Código Centro de Costo,Cuenta Cliente/Proveedor,Fecha de Emisión,Fecha de Vencimiento,Código de Moneda,Tasa de Cambio,Subtotal,Descuento Total,Impuestos Total,Total,Monto Pagado,Saldo Pendiente,Descripción,Notas,Línea - Secuencia,Línea - Código Producto,Línea - Descripción,Línea - Cantidad,Línea - Precio Unitario,Línea - % Descuento,Línea - Cuenta Contable,Línea - Centro de Costo,Línea - Códigos Impuestos,Línea - Subtotal,Línea - Descuento,Línea - Impuestos,Línea - Total
FV-001,VNT-001,PEDIDO-12345,CUSTOMER_INVOICE,DRAFT,12345678-9,NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,1950.00,50.00,361.00,2261.00,0.00,2261.00,Venta de equipos de oficina completa,Cliente corporativo - Descuento por volumen - Pago a 30 días,1,PRD-001,Laptop Dell Inspiron 15,2.0000,800.00,0.00,4105,VENT001,IVA19,1600.00,0.00,304.00,1904.00
FV-001,VNT-001,PEDIDO-12345,CUSTOMER_INVOICE,DRAFT,12345678-9,NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,1950.00,50.00,361.00,2261.00,0.00,2261.00,Venta de equipos de oficina completa,Cliente corporativo - Descuento por volumen - Pago a 30 días,2,PRD-002,Mouse Inalámbrico,5.0000,25.00,10.00,4105,VENT001,IVA19,125.00,12.50,21.38,133.88
FV-001,VNT-001,PEDIDO-12345,CUSTOMER_INVOICE,DRAFT,12345678-9,NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,1950.00,50.00,361.00,2261.00,0.00,2261.00,Venta de equipos de oficina completa,Cliente corporativo - Descuento por volumen - Pago a 30 días,3,PRD-003,Teclado Mecánico,3.0000,75.00,5.00,4105,VENT001,IVA19,225.00,11.25,40.61,254.36
FV-002,VNT-002,ORDEN-67890,CUSTOMER_INVOICE,POSTED,98765432-1,NET15,SALES,VENT002,1120,2025-06-20,2025-07-05,USD,1.0000,600.00,0.00,114.00,714.00,714.00,0.00,Venta de servicios profesionales,Cliente preferencial - Pago rápido a 15 días,1,SRV-001,Consultoría en Sistemas,4.0000,150.00,0.00,5105,VENT002,IVA19,600.00,0.00,114.00,714.00
FV-003,VNT-003,COTIZ-111,CUSTOMER_INVOICE,APPROVED,11223344-5,NET60,SALES,VENT001,1120,2025-06-25,2025-08-24,USD,1.0000,5000.00,250.00,902.50,5652.50,0.00,5652.50,Venta de equipos de red empresarial,Cliente corporativo grande - Pago extendido a 60 días,1,PRD-007,Switch de 24 puertos,2.0000,1200.00,0.00,4105,VENT001,IVA19,2400.00,0.00,456.00,2856.00
FV-003,VNT-003,COTIZ-111,CUSTOMER_INVOICE,APPROVED,11223344-5,NET60,SALES,VENT001,1120,2025-06-25,2025-08-24,USD,1.0000,5000.00,250.00,902.50,5652.50,0.00,5652.50,Venta de equipos de red empresarial,Cliente corporativo grande - Pago extendido a 60 días,2,PRD-008,Router empresarial,1.0000,1500.00,0.00,4105,VENT001,IVA19,1500.00,0.00,285.00,1785.00
FV-003,VNT-003,COTIZ-111,CUSTOMER_INVOICE,APPROVED,11223344-5,NET60,SALES,VENT001,1120,2025-06-25,2025-08-24,USD,1.0000,5000.00,250.00,902.50,5652.50,0.00,5652.50,Venta de equipos de red empresarial,Cliente corporativo grande - Pago extendido a 60 días,3,SRV-002,Instalación y configuración,8.0000,137.50,10.00,5105,VENT001,IVA19,1100.00,110.00,188.10,1178.10
FV-004,VNT-004,URGENTE-555,CUSTOMER_INVOICE,POSTED,55667788-9,COD,SALES,VENT003,1120,2025-06-25,2025-06-25,USD,1.0000,800.00,0.00,152.00,952.00,952.00,0.00,Venta de contado,Pago contra entrega - Sin crédito,1,PRD-009,Impresora láser,1.0000,800.00,0.00,4105,VENT003,IVA19,800.00,0.00,152.00,952.00
FV-005,VNT-005,PROMO-2025,CUSTOMER_INVOICE,DRAFT,77889900-1,2/10NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,2500.00,0.00,475.00,2975.00,0.00,2975.00,Venta con descuento por pronto pago,2% de descuento si paga en 10 días o neto a 30 días,1,PRD-010,Servidor de archivos,1.0000,2500.00,0.00,4105,VENT001,IVA19,2500.00,0.00,475.00,2975.00
FC-001,COMP-001,PROV-FAC-12345,SUPPLIER_INVOICE,POSTED,33445566-7,NET15,PURCH,ADMIN001,2105,2025-06-20,2025-07-05,USD,1.0000,1200.00,60.00,216.60,1356.60,1000.00,356.60,Compra de suministros de oficina,Proveedor confiable - Pago rápido,1,PRD-011,Papel bond,10.0000,50.00,0.00,1205,ADMIN001,IVA19,500.00,0.00,95.00,595.00
